RALEIGH ID,JURISID,STREET NUMBER,SUITE_NUMBER,STREET DIRECTION,STREET NAME,STREET TYPE,STREET SUFFIX,OWNERSHIP,MANUFACTURER,YEAR,VALVE DIAM,PUMPER NOZZLE,SIDE NOZZLE,OPERABLE,NEEDS REPAIR,NOTES,RFD_NOTES,CHECKED,STATION
WHYD122746,,None,None,,Mcnight,,Drive,0,KENNEDY,1996,4.5,NST,NST ,Y,1,,hard to open,N,KdaleFire
WHYD125396,,None,None,,None,,,0,UNKNOWN,,0.0,UNK,UNK,Y,1,hydrant is private,bushes needs trimming,N,KdaleFire
